year,quarter,state,gennme_c,suppression_used,total_prescriptions
2018,4,me,Eszopiclone,FALSE,52
2018,4,me,Eszopiclone,TRUE,0
2018,4,me,Zaleplon,FALSE,27
2018,4,me,Zaleplon,TRUE,0
2018,4,me,Zolpidem Tartrate,FALSE,1677
2018,4,me,Zolpidem Tartrate,TRUE,0
2018,4,mi,Eszopiclone,FALSE,502
2018,4,mi,Eszopiclone,TRUE,0
2018,4,mi,Zaleplon,FALSE,96
2018,4,mi,Zaleplon,TRUE,0
2018,4,mi,Zolpidem Tartrate,FALSE,17045
2018,4,mi,Zolpidem Tartrate,TRUE,0
2018,4,mn,Eszopiclone,FALSE,1800
2018,4,mn,Eszopiclone,TRUE,0
2018,4,mn,Zaleplon,FALSE,806
2018,4,mn,Zaleplon,TRUE,0
2018,4,mn,Zolpidem Tartrate,FALSE,12818
2018,4,mn,Zolpidem Tartrate,TRUE,0
2018,4,mo,Eszopiclone,FALSE,2172
2018,4,mo,Eszopiclone,TRUE,0
2018,4,mo,Zaleplon,FALSE,345
2018,4,mo,Zaleplon,TRUE,0
2018,4,mo,Zolpidem Tartrate,FALSE,10110
2018,4,mo,Zolpidem Tartrate,TRUE,0
2018,4,ms,Eszopiclone,TRUE,0
2018,4,ms,Zaleplon,FALSE,17
2018,4,ms,Zaleplon,TRUE,0
2018,4,ms,Zolpidem Tartrate,FALSE,1639
2018,4,ms,Zolpidem Tartrate,TRUE,0
2018,4,mt,Eszopiclone,FALSE,233
2018,4,mt,Eszopiclone,TRUE,0
2018,4,mt,Zaleplon,FALSE,33
2018,4,mt,Zaleplon,TRUE,0
2018,4,mt,Zolpidem Tartrate,FALSE,4526
2018,4,mt,Zolpidem Tartrate,TRUE,0
2018,4,nc,Eszopiclone,FALSE,487
2018,4,nc,Eszopiclone,TRUE,0
2018,4,nc,Zaleplon,FALSE,17
2018,4,nc,Zaleplon,TRUE,0
2018,4,nc,Zolpidem Tartrate,FALSE,10084
2018,4,nc,Zolpidem Tartrate,TRUE,0
2018,4,nd,Eszopiclone,FALSE,77
2018,4,nd,Eszopiclone,TRUE,0
2018,4,nd,Zaleplon,FALSE,14
2018,4,nd,Zaleplon,TRUE,0
2018,4,nd,Zolpidem Tartrate,FALSE,1095
2018,4,nd,Zolpidem Tartrate,TRUE,0
2018,4,ne,Eszopiclone,FALSE,80
2018,4,ne,Eszopiclone,TRUE,0
2018,4,ne,Zaleplon,FALSE,214
2018,4,ne,Zaleplon,TRUE,0
2018,4,ne,Zolpidem Tartrate,FALSE,2738
2018,4,ne,Zolpidem Tartrate,TRUE,0
2018,4,nh,Eszopiclone,FALSE,71
2018,4,nh,Eszopiclone,TRUE,0
2018,4,nh,Zaleplon,FALSE,45
2018,4,nh,Zaleplon,TRUE,0
2018,4,nh,Zolpidem Tartrate,FALSE,1289
2018,4,nh,Zolpidem Tartrate,TRUE,0
2018,4,nj,Eszopiclone,FALSE,202
2018,4,nj,Eszopiclone,TRUE,0
2018,4,nj,Zaleplon,FALSE,780
2018,4,nj,Zaleplon,TRUE,0
2018,4,nj,Zolpidem Tartrate,FALSE,23454
2018,4,nj,Zolpidem Tartrate,TRUE,0
2018,4,nm,Eszopiclone,FALSE,365
2018,4,nm,Eszopiclone,TRUE,0
2018,4,nm,Zaleplon,FALSE,99
2018,4,nm,Zaleplon,TRUE,0
2018,4,nm,Zolpidem Tartrate,FALSE,5738
2018,4,nm,Zolpidem Tartrate,TRUE,0
2018,4,nv,Eszopiclone,FALSE,84
2018,4,nv,Eszopiclone,TRUE,0
2018,4,nv,Zaleplon,FALSE,138
2018,4,nv,Zaleplon,TRUE,0
2018,4,nv,Zolpidem Tartrate,FALSE,7238
2018,4,nv,Zolpidem Tartrate,TRUE,0
2018,4,ny,Eszopiclone,FALSE,1574
2018,4,ny,Eszopiclone,TRUE,0
2018,4,ny,Zaleplon,FALSE,1107
2018,4,ny,Zaleplon,TRUE,0
2018,4,ny,Zolpidem Tartrate,FALSE,81791
2018,4,ny,Zolpidem Tartrate,TRUE,0
2018,4,oh,Eszopiclone,FALSE,1407
2018,4,oh,Eszopiclone,TRUE,0
2018,4,oh,Zaleplon,FALSE,931
2018,4,oh,Zaleplon,TRUE,0
2018,4,oh,Zolpidem Tartrate,FALSE,28174
2018,4,oh,Zolpidem Tartrate,TRUE,0
2018,4,ok,Eszopiclone,FALSE,637
2018,4,ok,Eszopiclone,TRUE,0
2018,4,ok,Zaleplon,FALSE,126
2018,4,ok,Zaleplon,TRUE,0
2018,4,ok,Zolpidem Tartrate,FALSE,4285
2018,4,ok,Zolpidem Tartrate,TRUE,0
2018,4,or,Eszopiclone,FALSE,45
2018,4,or,Eszopiclone,TRUE,0
2018,4,or,Zaleplon,FALSE,112
2018,4,or,Zaleplon,TRUE,0
2018,4,or,Zolpidem Tartrate,FALSE,4589
2018,4,or,Zolpidem Tartrate,TRUE,0
2018,4,pa,Eszopiclone,FALSE,1046
2018,4,pa,Eszopiclone,TRUE,0
2018,4,pa,Zaleplon,FALSE,985
2018,4,pa,Zaleplon,TRUE,0
2018,4,pa,Zolpidem Tartrate,FALSE,38840
2018,4,pa,Zolpidem Tartrate,TRUE,0
2018,4,ri,Eszopiclone,FALSE,250
2018,4,ri,Eszopiclone,TRUE,0
2018,4,ri,Zaleplon,FALSE,133
2018,4,ri,Zaleplon,TRUE,0
2018,4,ri,Zolpidem Tartrate,FALSE,4081
2018,4,ri,Zolpidem Tartrate,TRUE,0
2018,4,sc,Eszopiclone,FALSE,192
2018,4,sc,Eszopiclone,TRUE,0
2018,4,sc,Zaleplon,FALSE,59
2018,4,sc,Zaleplon,TRUE,0
2018,4,sc,Zolpidem Tartrate,FALSE,2476
2018,4,sc,Zolpidem Tartrate,TRUE,0
2018,4,sd,Eszopiclone,FALSE,68
2018,4,sd,Eszopiclone,TRUE,0
2018,4,sd,Zaleplon,TRUE,0
2018,4,sd,Zolpidem Tartrate,FALSE,632
2018,4,sd,Zolpidem Tartrate,TRUE,0
2018,4,tn,Eszopiclone,FALSE,188
2018,4,tn,Eszopiclone,TRUE,0
2018,4,tn,Zaleplon,FALSE,13
2018,4,tn,Zaleplon,TRUE,0
2018,4,tn,Zolpidem Tartrate,FALSE,1974
2018,4,tn,Zolpidem Tartrate,TRUE,0
2018,4,tx,Eszopiclone,FALSE,1193
2018,4,tx,Eszopiclone,TRUE,0
2018,4,tx,Zaleplon,FALSE,145
2018,4,tx,Zaleplon,TRUE,0
2018,4,tx,Zolpidem Tartrate,FALSE,22864
2018,4,tx,Zolpidem Tartrate,TRUE,0
2018,4,ut,Eszopiclone,FALSE,221
2018,4,ut,Eszopiclone,TRUE,0
2018,4,ut,Zaleplon,FALSE,80
2018,4,ut,Zaleplon,TRUE,0
2018,4,ut,Zolpidem Tartrate,FALSE,3712
2018,4,ut,Zolpidem Tartrate,TRUE,0
2018,4,va,Eszopiclone,FALSE,358
2018,4,va,Eszopiclone,TRUE,0
2018,4,va,Zaleplon,FALSE,33
2018,4,va,Zaleplon,TRUE,0
2018,4,va,Zolpidem Tartrate,FALSE,7612
2018,4,va,Zolpidem Tartrate,TRUE,0
2018,4,vt,Eszopiclone,FALSE,102
2018,4,vt,Eszopiclone,TRUE,0
2018,4,vt,Zaleplon,FALSE,56
2018,4,vt,Zaleplon,TRUE,0
2018,4,vt,Zolpidem Tartrate,FALSE,1779
2018,4,vt,Zolpidem Tartrate,TRUE,0
2018,4,wa,Eszopiclone,FALSE,478
2018,4,wa,Eszopiclone,TRUE,0
2018,4,wa,Zaleplon,FALSE,645
2018,4,wa,Zaleplon,TRUE,0
2018,4,wa,Zolpidem Tartrate,FALSE,13660
2018,4,wa,Zolpidem Tartrate,TRUE,0
2018,4,wi,Eszopiclone,FALSE,1143
2018,4,wi,Eszopiclone,TRUE,0
2018,4,wi,Zaleplon,FALSE,634
2018,4,wi,Zolpidem Tartrate,FALSE,15372
2018,4,wi,Zolpidem Tartrate,TRUE,0
2018,4,wv,Eszopiclone,FALSE,14
2018,4,wv,Eszopiclone,TRUE,0
2018,4,wv,Zaleplon,TRUE,0
2018,4,wv,Zolpidem Tartrate,FALSE,3991
2018,4,wv,Zolpidem Tartrate,TRUE,0
2018,4,wy,Eszopiclone,TRUE,0
2018,4,wy,Zaleplon,TRUE,0
2018,4,wy,Zolpidem Tartrate,FALSE,375
2018,4,wy,Zolpidem Tartrate,TRUE,0
2019,1,ak,Eszopiclone,FALSE,220
2019,1,ak,Eszopiclone,TRUE,0
2019,1,ak,Zaleplon,FALSE,45
2019,1,ak,Zaleplon,TRUE,0
2019,1,ak,Zolpidem Tartrate,FALSE,1926
2019,1,ak,Zolpidem Tartrate,TRUE,0
2019,1,al,Eszopiclone,FALSE,455
2019,1,al,Eszopiclone,TRUE,0
2019,1,al,Zaleplon,FALSE,29
2019,1,al,Zaleplon,TRUE,0
2019,1,al,Zolpidem Tartrate,FALSE,2941
2019,1,al,Zolpidem Tartrate,TRUE,0
2019,1,ar,Eszopiclone,TRUE,0
2019,1,ar,Zaleplon,FALSE,408
2019,1,ar,Zaleplon,TRUE,0
2019,1,ar,Zolpidem Tartrate,FALSE,5732
2019,1,ar,Zolpidem Tartrate,TRUE,0
2019,1,az,Eszopiclone,FALSE,909
2019,1,az,Eszopiclone,TRUE,0
2019,1,az,Zaleplon,FALSE,233
2019,1,az,Zaleplon,TRUE,0
2019,1,az,Zolpidem Tartrate,FALSE,12821
2019,1,az,Zolpidem Tartrate,TRUE,0
2019,1,ca,Eszopiclone,FALSE,2718
2019,1,ca,Eszopiclone,TRUE,0
2019,1,ca,Zaleplon,FALSE,791
2019,1,ca,Zaleplon,TRUE,0
2019,1,ca,Zolpidem Tartrate,FALSE,62402
2019,1,ca,Zolpidem Tartrate,TRUE,0
2019,1,co,Eszopiclone,FALSE,2257
2019,1,co,Eszopiclone,TRUE,0
2019,1,co,Zaleplon,FALSE,362
2019,1,co,Zaleplon,TRUE,0
2019,1,co,Zolpidem Tartrate,FALSE,10162
2019,1,co,Zolpidem Tartrate,TRUE,0
2019,1,ct,Eszopiclone,FALSE,932
2019,1,ct,Eszopiclone,TRUE,0
2019,1,ct,Zaleplon,FALSE,56
2019,1,ct,Zaleplon,TRUE,0
2019,1,ct,Zolpidem Tartrate,FALSE,13202
2019,1,ct,Zolpidem Tartrate,TRUE,0
2019,1,dc,Eszopiclone,TRUE,0
2019,1,dc,Zaleplon,TRUE,0
2019,1,dc,Zolpidem Tartrate,FALSE,1598
2019,1,dc,Zolpidem Tartrate,TRUE,0
2019,1,de,Eszopiclone,FALSE,117
2019,1,de,Eszopiclone,TRUE,0
2019,1,de,Zaleplon,FALSE,54
2019,1,de,Zaleplon,TRUE,0
2019,1,de,Zolpidem Tartrate,FALSE,3158
2019,1,de,Zolpidem Tartrate,TRUE,0
2019,1,fl,Eszopiclone,FALSE,139
2019,1,fl,Eszopiclone,TRUE,0
2019,1,fl,Zaleplon,FALSE,57
2019,1,fl,Zaleplon,TRUE,0
2019,1,fl,Zolpidem Tartrate,FALSE,15520
2019,1,fl,Zolpidem Tartrate,TRUE,0
2019,1,ga,Zolpidem Tartrate,TRUE,0
2019,1,hi,Eszopiclone,FALSE,12
2019,1,hi,Eszopiclone,TRUE,0
2019,1,hi,Zaleplon,TRUE,0
2019,1,hi,Zolpidem Tartrate,FALSE,2518
2019,1,hi,Zolpidem Tartrate,TRUE,0
2019,1,ia,Eszopiclone,FALSE,520
2019,1,ia,Eszopiclone,TRUE,0
2019,1,ia,Zaleplon,FALSE,241
2019,1,ia,Zaleplon,TRUE,0
2019,1,ia,Zolpidem Tartrate,FALSE,3713
2019,1,ia,Zolpidem Tartrate,TRUE,0
2019,1,id,Eszopiclone,FALSE,195
2019,1,id,Eszopiclone,TRUE,0
2019,1,id,Zaleplon,FALSE,15
2019,1,id,Zaleplon,TRUE,0
2019,1,id,Zolpidem Tartrate,FALSE,2525
2019,1,id,Zolpidem Tartrate,TRUE,0
2019,1,il,Eszopiclone,FALSE,268
2019,1,il,Eszopiclone,TRUE,0
2019,1,il,Zaleplon,FALSE,290
2019,1,il,Zaleplon,TRUE,0
2019,1,il,Zolpidem Tartrate,FALSE,16732
2019,1,il,Zolpidem Tartrate,TRUE,0
2019,1,in,Eszopiclone,FALSE,1592
2019,1,in,Eszopiclone,TRUE,0
2019,1,in,Zaleplon,FALSE,289
2019,1,in,Zaleplon,TRUE,0
2019,1,in,Zolpidem Tartrate,FALSE,10184
2019,1,in,Zolpidem Tartrate,TRUE,0
2019,1,ks,Eszopiclone,FALSE,178
2019,1,ks,Eszopiclone,TRUE,0
2019,1,ks,Zaleplon,FALSE,13
2019,1,ks,Zaleplon,TRUE,0
2019,1,ks,Zolpidem Tartrate,FALSE,3162
2019,1,ks,Zolpidem Tartrate,TRUE,0
2019,1,ky,Eszopiclone,FALSE,309
2019,1,ky,Eszopiclone,TRUE,0
2019,1,ky,Zaleplon,FALSE,42
2019,1,ky,Zaleplon,TRUE,0
2019,1,ky,Zolpidem Tartrate,FALSE,10678
2019,1,ky,Zolpidem Tartrate,TRUE,0
2019,1,la,Eszopiclone,FALSE,500
2019,1,la,Eszopiclone,TRUE,0
2019,1,la,Zaleplon,FALSE,375
2019,1,la,Zaleplon,TRUE,0
2019,1,la,Zolpidem Tartrate,FALSE,23245
2019,1,la,Zolpidem Tartrate,TRUE,0
2019,1,ma,Eszopiclone,FALSE,415
2019,1,ma,Eszopiclone,TRUE,0
2019,1,ma,Zaleplon,FALSE,255
2019,1,ma,Zaleplon,TRUE,0
2019,1,ma,Zolpidem Tartrate,FALSE,16361
2019,1,ma,Zolpidem Tartrate,TRUE,0
2019,1,md,Eszopiclone,FALSE,1138
2019,1,md,Eszopiclone,TRUE,0
2019,1,md,Zaleplon,FALSE,325
2019,1,md,Zaleplon,TRUE,0
2019,1,md,Zolpidem Tartrate,FALSE,15607
2019,1,md,Zolpidem Tartrate,TRUE,0
2019,1,me,Eszopiclone,FALSE,34
2019,1,me,Eszopiclone,TRUE,0
2019,1,me,Zaleplon,FALSE,27
2019,1,me,Zaleplon,TRUE,0
2019,1,me,Zolpidem Tartrate,FALSE,1629
2019,1,me,Zolpidem Tartrate,TRUE,0
2019,1,mi,Eszopiclone,FALSE,517
2019,1,mi,Eszopiclone,TRUE,0
2019,1,mi,Zaleplon,FALSE,109
2019,1,mi,Zaleplon,TRUE,0
2019,1,mi,Zolpidem Tartrate,FALSE,16759
2019,1,mi,Zolpidem Tartrate,TRUE,0
2019,1,mn,Eszopiclone,FALSE,1794
2019,1,mn,Eszopiclone,TRUE,0
2019,1,mn,Zaleplon,FALSE,752
2019,1,mn,Zaleplon,TRUE,0
2019,1,mn,Zolpidem Tartrate,FALSE,11837
2019,1,mn,Zolpidem Tartrate,TRUE,0
2019,1,mo,Eszopiclone,FALSE,2066
2019,1,mo,Eszopiclone,TRUE,0
2019,1,mo,Zaleplon,FALSE,314
2019,1,mo,Zaleplon,TRUE,0
2019,1,mo,Zolpidem Tartrate,FALSE,9753
2019,1,mo,Zolpidem Tartrate,TRUE,0
2019,1,ms,Eszopiclone,TRUE,0
2019,1,ms,Zaleplon,FALSE,19
2019,1,ms,Zaleplon,TRUE,0
2019,1,ms,Zolpidem Tartrate,FALSE,1624
2019,1,ms,Zolpidem Tartrate,TRUE,0
2019,1,mt,Eszopiclone,FALSE,194
2019,1,mt,Eszopiclone,TRUE,0
2019,1,mt,Zaleplon,FALSE,32
2019,1,mt,Zaleplon,TRUE,0
2019,1,mt,Zolpidem Tartrate,FALSE,4029
2019,1,mt,Zolpidem Tartrate,TRUE,0
2019,1,nc,Eszopiclone,FALSE,592
2019,1,nc,Eszopiclone,TRUE,0
2019,1,nc,Zaleplon,FALSE,48
2019,1,nc,Zaleplon,TRUE,0
2019,1,nc,Zolpidem Tartrate,FALSE,11383
2019,1,nc,Zolpidem Tartrate,TRUE,0
2019,1,nd,Eszopiclone,FALSE,67
2019,1,nd,Eszopiclone,TRUE,0
2019,1,nd,Zaleplon,TRUE,0
2019,1,nd,Zolpidem Tartrate,FALSE,970
2019,1,nd,Zolpidem Tartrate,TRUE,0
2019,1,ne,Eszopiclone,FALSE,45
2019,1,ne,Eszopiclone,TRUE,0
2019,1,ne,Zaleplon,FALSE,167
2019,1,ne,Zaleplon,TRUE,0
2019,1,ne,Zolpidem Tartrate,FALSE,2255
2019,1,ne,Zolpidem Tartrate,TRUE,0
2019,1,nh,Eszopiclone,FALSE,140
2019,1,nh,Eszopiclone,TRUE,0
2019,1,nh,Zaleplon,FALSE,92
2019,1,nh,Zaleplon,TRUE,0
2019,1,nh,Zolpidem Tartrate,FALSE,1966
2019,1,nh,Zolpidem Tartrate,TRUE,0
2019,1,nj,Eszopiclone,FALSE,199
2019,1,nj,Eszopiclone,TRUE,0
2019,1,nj,Zaleplon,FALSE,694
2019,1,nj,Zaleplon,TRUE,0
