year,state,quarter,totalRXImputed
2019,WI,1,17616
2019,WI,2,16919
2019,WI,3,16501
2019,WI,4,16008
2019,WV,1,3970
2019,WV,2,3825
2019,WV,3,3510
2019,WV,4,3566
2020,AK,1,1861
2020,AK,2,2136
2020,AK,3,2083
2020,AK,4,1810
2020,AL,1,3180
2020,AL,2,2958
2020,AL,3,2689
2020,AL,4,2902
2020,AR,1,5802
2020,AR,2,5686
2020,AR,3,5661
2020,AR,4,5901
2020,AZ,1,12700
2020,AZ,2,12860
2020,AZ,3,13217
2020,AZ,4,10328
2020,CA,1,57553
2020,CA,2,58198
2020,CA,3,58011
2020,CA,4,40776
2020,CO,1,12862
2020,CO,2,12916
2020,CO,3,13240
2020,CO,4,13037
2020,CT,1,12792
2020,CT,2,13238
2020,CT,3,12787
2020,CT,4,13051
2020,DC,1,1866
2020,DC,2,1900
2020,DC,3,1934
2020,DC,4,1484
2020,DE,1,3551
2020,DE,2,3668
2020,DE,3,3612
2020,DE,4,3240
2020,FL,1,14088
2020,FL,2,14218
2020,FL,3,14648
2020,FL,4,14701
2020,HI,1,2509
2020,HI,2,2519
2020,HI,3,2613
2020,HI,4,2470
2020,IA,1,4345
2020,IA,2,4280
2020,IA,3,9913
2020,IA,4,8534
2020,ID,1,4309
2020,ID,2,4834
2020,ID,3,5126
2020,ID,4,5373
2020,IL,1,16598
2020,IL,2,16442
2020,IL,3,17250
2020,IL,4,10153
2020,IN,1,12257
2020,IN,2,12851
2020,IN,3,13741
2020,IN,4,12518
2020,KS,1,3364
2020,KS,2,3380
2020,KS,3,3315
2020,KS,4,1999
2020,KY,1,10287
2020,KY,2,10445
2020,KY,3,10961
2020,KY,4,10847
2020,LA,1,22243
2020,LA,2,23135
2020,LA,3,23532
2020,LA,4,24253
2020,MA,1,18099
2020,MA,2,17486
2020,MA,3,17717
2020,MA,4,17949
2020,MD,1,14164
2020,MD,2,15613
2020,MD,3,17315
2020,MD,4,16156
2020,ME,1,2300
2020,ME,2,2380
2020,ME,3,2611
2020,ME,4,2431
2020,MI,1,15353
2020,MI,2,15482
2020,MI,3,16126
2020,MI,4,16836
2020,MN,1,14938
2020,MN,2,13689
2020,MN,3,15206
2020,MN,4,15136
2020,MO,1,10548
2020,MO,2,9973
2020,MO,3,10873
2020,MO,4,10105
2020,MS,1,1905
2020,MS,2,1854
2020,MS,3,1830
2020,MS,4,1828
2020,MT,1,4123
2020,MT,2,3982
2020,MT,3,4105
2020,MT,4,3991
2020,NC,1,6865
2020,NC,2,4847
2020,NC,3,19052
2020,NC,4,9864
2020,ND,1,1279
2020,ND,2,1260
2020,ND,3,1242
2020,ND,4,1333
2020,NE,1,2532
2020,NE,2,2493
2020,NE,3,2449
2020,NE,4,2513
2020,NH,1,2632
2020,NH,2,2655
2020,NH,3,2805
2020,NH,4,2773
2020,NJ,1,22735
2020,NJ,2,22590
2020,NJ,3,23345
2020,NJ,4,15229
2020,NM,1,230
2020,NM,2,5907
2020,NM,3,6133
2020,NM,4,6095
2020,NV,1,7022
2020,NV,2,7303
2020,NV,3,7624
2020,NV,4,7007
2020,NY,1,74608
2020,NY,2,75763
2020,NY,3,77530
2020,NY,4,67506
2020,OH,1,26162
2020,OH,2,26357
2020,OH,3,26941
2020,OH,4,18509
2020,OK,1,4246
2020,OK,2,4391
2020,OK,3,4647
2020,OK,4,4653
2020,OR,1,4553
2020,OR,2,4408
2020,OR,3,4027
2020,OR,4,3297
2020,PA,1,30975
2020,PA,2,30607
2020,PA,3,31766
2020,PA,4,19225
2020,RI,1,3956
2020,RI,2,3979
2020,RI,3,4076
2020,RI,4,4173
2020,SC,1,3102
2020,SC,2,2262
2020,SC,3,3434
2020,SC,4,2288
2020,SD,1,788
2020,SD,2,845
2020,SD,3,938
2020,SD,4,832
2020,TN,1,2818
2020,TN,2,3046
2020,TN,3,3252
2020,TN,4,3542
2020,TX,1,18925
2020,TX,2,18350
2020,TX,3,18259
2020,TX,4,18076
2020,UT,1,5291
2020,UT,2,5817
2020,UT,3,5354
2020,UT,4,5423
2020,VA,1,12780
2020,VA,2,13142
2020,VA,3,13826
2020,VA,4,13589
2020,VT,1,1916
2020,VT,2,2018
2020,VT,3,2067
2020,VT,4,2099
2020,WA,1,13634
2020,WA,2,13665
2020,WA,3,13649
2020,WA,4,12710
2020,WI,1,16001
2020,WI,2,15873
2020,WI,3,16195
2020,WI,4,16189
2020,WV,1,3236
2020,WV,2,3055
2020,WV,3,3115
2020,WV,4,2917
2020,WY,1,647
2020,WY,2,633
2020,WY,3,596
2020,WY,4,606
