year,gennme,prodnme,state,quarter,totalRXImputed
2017,Zolpidem Tartrate,AMBIEN CR,FL,2,10
2017,Zolpidem Tartrate,EDLUAR,FL,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,FL,2,30087
2017,Eszopiclone,ESZOPICLONE,FL,3,273
2017,Eszopiclone,LUNESTA,FL,3,20
2017,Zaleplon,ZALEPLON,FL,3,50
2017,Zolpidem Tartrate,AMBIEN,FL,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,FL,3,25131
2017,Eszopiclone,ESZOPICLONE,FL,4,188
2017,Eszopiclone,LUNESTA,FL,4,20
2017,Zaleplon,ZALEPLON,FL,4,44
2017,Zolpidem Tartrate,AMBIEN,FL,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,FL,4,24299
2017,Eszopiclone,ESZOPICLONE,HI,1,142
2017,Zaleplon,ZALEPLON,HI,1,40
2017,Zolpidem Tartrate,AMBIEN,HI,1,10
2017,Zolpidem Tartrate,AMBIEN CR,HI,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,HI,1,4333
2017,Eszopiclone,ESZOPICLONE,HI,2,140
2017,Zaleplon,ZALEPLON,HI,2,30
2017,Zolpidem Tartrate,AMBIEN,HI,2,10
2017,Zolpidem Tartrate,AMBIEN CR,HI,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,HI,2,4013
2017,Eszopiclone,ESZOPICLONE,HI,3,91
2017,Zaleplon,ZALEPLON,HI,3,20
2017,Zolpidem Tartrate,AMBIEN,HI,3,10
2017,Zolpidem Tartrate,AMBIEN CR,HI,3,20
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,HI,3,3150
2017,Eszopiclone,ESZOPICLONE,HI,4,103
2017,Zaleplon,ZALEPLON,HI,4,10
2017,Zolpidem Tartrate,AMBIEN CR,HI,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,HI,4,2817
2017,Eszopiclone,ESZOPICLONE,IA,1,504
2017,Eszopiclone,LUNESTA,IA,1,10
2017,Zaleplon,SONATA,IA,1,10
2017,Zaleplon,ZALEPLON,IA,1,186
2017,Zolpidem Tartrate,EDLUAR,IA,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IA,1,3240
2017,Eszopiclone,ESZOPICLONE,IA,2,565
2017,Zaleplon,ZALEPLON,IA,2,231
2017,Zolpidem Tartrate,AMBIEN CR,IA,2,10
2017,Zolpidem Tartrate,EDLUAR,IA,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IA,2,3546
2017,Eszopiclone,ESZOPICLONE,IA,3,660
2017,Eszopiclone,LUNESTA,IA,3,10
2017,Zaleplon,ZALEPLON,IA,3,278
2017,Zolpidem Tartrate,EDLUAR,IA,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IA,3,3823
2017,Eszopiclone,ESZOPICLONE,IA,4,718
2017,Zaleplon,ZALEPLON,IA,4,333
2017,Zolpidem Tartrate,EDLUAR,IA,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IA,4,4953
2017,Eszopiclone,ESZOPICLONE,ID,1,317
2017,Eszopiclone,LUNESTA,ID,1,20
2017,Zaleplon,ZALEPLON,ID,1,41
2017,Zolpidem Tartrate,AMBIEN,ID,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,ID,1,3644
2017,Eszopiclone,ESZOPICLONE,ID,2,294
2017,Eszopiclone,LUNESTA,ID,2,20
2017,Zaleplon,ZALEPLON,ID,2,79
2017,Zolpidem Tartrate,AMBIEN,ID,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,ID,2,3509
2017,Eszopiclone,ESZOPICLONE,ID,3,330
2017,Eszopiclone,LUNESTA,ID,3,20
2017,Zaleplon,ZALEPLON,ID,3,72
2017,Zolpidem Tartrate,AMBIEN,ID,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,ID,3,3306
2017,Eszopiclone,ESZOPICLONE,ID,4,348
2017,Eszopiclone,LUNESTA,ID,4,20
2017,Zaleplon,ZALEPLON,ID,4,74
2017,Zolpidem Tartrate,AMBIEN,ID,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,ID,4,3298
2017,Eszopiclone,ESZOPICLONE,IL,1,486
2017,Eszopiclone,LUNESTA,IL,1,20
2017,Zaleplon,ZALEPLON,IL,1,351
2017,Zolpidem Tartrate,AMBIEN CR,IL,1,10
2017,Zolpidem Tartrate,INTERMEZZO,IL,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IL,1,28005
2017,Eszopiclone,ESZOPICLONE,IL,2,343
2017,Eszopiclone,LUNESTA,IL,2,10
2017,Zaleplon,ZALEPLON,IL,2,230
2017,Zolpidem Tartrate,AMBIEN CR,IL,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IL,2,17603
2017,Eszopiclone,ESZOPICLONE,IL,3,429
2017,Eszopiclone,LUNESTA,IL,3,10
2017,Zaleplon,ZALEPLON,IL,3,236
2017,Zolpidem Tartrate,AMBIEN CR,IL,3,10
2017,Zolpidem Tartrate,EDLUAR,IL,3,10
2017,Zolpidem Tartrate,INTERMEZZO,IL,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IL,3,16834
2017,Eszopiclone,ESZOPICLONE,IL,4,407
2017,Eszopiclone,LUNESTA,IL,4,10
2017,Zaleplon,ZALEPLON,IL,4,228
2017,Zolpidem Tartrate,AMBIEN CR,IL,4,10
2017,Zolpidem Tartrate,INTERMEZZO,IL,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IL,4,16143
